지역,소구분,상호,주소,반려동물용 메뉴 및 서비스 시설,반려동물용 메뉴 및 서비스 시설 내용,반려동물 동행시 이용 가능 공간(실내_실외),입장 가능 반려동물 제한사항,이용료,기타 특이사항,이용시간,휴무,주차
강화군,펜션,마리아하우스,강화군 강화읍 시리미로313번길 66,O,"천연잔디, 정원, 애견삼푸","실내, 실외",전화 문의 ,,"독채 한옥 펜션, 잔디마당 있음, 애견 관련 사항은 전화 문의, 에어비앤비로 에약",입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,터펜션 ,강화군 화도면 해안남로 2297-26,O,"배변패드, 식기, 배변봉투","실내, 실외","반려동물 동반시 전화 상담 필수, 13kg 이상 동반 불가, ","객실당 7kg 미만 반려동물 1마리 무료 소형 반려동물(7kg 미만) : 10,000원중형 반려동물(7kg~13kg) : 50,000원13kg 이상 대형견 동반 불가","애견 동반 수영장, 애견 운동장 있음",입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,뷰나인펜션 ,강화군 화도면 해안남로 2709-8,O,"배변패드, 배변판, 매너벨트, 이동식 욕조, 식기, 수건, 애견삼푸","실내, 실외",13kg 이상 동반 불가,"개 8kg 미만 암컷 10,000원, 수컷 15,000원개 8~13kg 암컷 20,000원, 수컷 25,000원 고양이  20,000원(8kg 미만 동반 가능)조류 10,000원미니피그 20,000원 3마리 동반시 보증금 100,000원 그외 전화문의 ","애견 운동장, 펫드라이룸",입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,펜션투유,강화군 삼산면 삼산북로 379-7,O,"배변봉투, 배변패드, 식기, 간식","실내, 실외",반려동물 동반시 문의 요망,"7kg 미만 20,000원 (7kg 미만만 가능)/ 현금결제시 1마리까지만 무료입실가능 객실: 전 객실 (객실당 3마리까지 가능)식기,패드,수제간식 무료 제공",애견 운동장 2개,입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,석모도풍차마을펜션,강화군 삼산면 삼산남로 630-18,X,정원,"실내, 실외","8kg 이하, 최대 2마리","1마리당 20,000원",,입실 15:00 / 퇴실 12:00,연중무휴,가능
강화군,펜션,로맨틱큐브펜션,강화군 길상면 해안남로 664-11,O,"배변봉투, 수건","실내, 실외",10kg 이하,"1~5kg 20,000원, 6~10kg 30,000원","애견운동장, 애견 샤워장&드라이룸",입실 15:00 / 퇴실 11:00,,가능
강화군,펜션,향기정원펜션,강화군 화도면 해안남로 2166-41,X,정원,"실내, 실외","반려동물 동반시 문의 요망, 8kg 이하, 객실당 최대 2마리","5kg 미만 20,000원 5kg  이상 30,000원",산책시 매너줄 필수,입실 15:00 / 퇴실 11:00,,가능
강화군,캠핑장,강화캠핑파크,강화군 길상면 신촌로146번길 14-11,X,,실외,반려동물 동반시 문의 요망,,,입실 14:00 / 퇴실 11:00,연중무휴,가능
강화군,캠핑장,마리원캠프,강화군 길상면 장흥로101번길 6,X,,실외,15kg 이하,,,입실 13:00 / 퇴실 12:00,연중무휴,가능
강화군,식당,농가의식탁,강화군 선원면 해안동로 1037-8,O,정원,"실내, 실외",반려동물 입장 가능,"삼겹 구운야채구이 20,000원, 토마토파스타 19,000원 등","강화도 산지 재배 재료를 이용한 건강한 식탁. 프라이빗 룸 있음(반려동물 동반시 편리), 야외정원 및 테라스에서 식사 가능, 정원에서 반려동물 뛰어놀 수 있음","일~금 11:00~18:30(브레이크 타임 15:30~17:00), 토요일은 1시간 연장",화요일 휴무,가능
강화군,식당,연미정 회전오리,강화군 선원면 고식이길 112-2,,반려동물 함께 먹을 수 있는 메뉴(양념하지 않은 오리구이),"실내(반려동물 동반시 좌식 우선 배정, 파티션으로 구분)",소형견,"한마리(12꼬치) 55,000원, 기본(8꼬치) 45,000원 등",,"12:00~20:40, 브레이크타임 14:30~17:00",수요일 휴무,가능
강화군,식당,토러스 한정식 ,강화군 길상면 길상로25번길 27,,정원,,,,,,,
강화군,식당,칠보식당,강화군 길상면 전등사로77번길 49,X,,실내,반려동물 입장 가능,"백숙·닭볶음탕 50,000원, 묵밥 8,000원 등",전등사 동문 입구 위치,06:00~20:00,,가능
강화군,식당,삼보식당,강화군 삼산면 매음리 636,X,,실내,반려동물 입장 가능 ,"산채정식 13,000원, 시골밥상 18,000원 등",전등사 입구,08:00~20:00,연중무휴,가능(유료)
강화군,식당,동문식당,강화군 길상면 전등사로77번길 45,X,,실내,반려동물 입장 가능,"백숙 55,000원, 산채돌솥비빔밥 12,000원 등",전등사 입구,월~금 11:00~17:00 토·일 09:30~18:00,비정기 휴무,가능(유료)
강화군,식당,삼랑성 시골밥상,강화군 길상면 전등사로77번길 7-26 ,X,,실내,반려동물 입장 가능,"산채나물정식 10,000원, 돌솥비빔밥 10,000원 등 ",전등사 입구,06:00~22:00,연중무휴,가능(유료)
강화군,식당,외포리꽃게집,강화군 내가면 중앙로 1206,X,,실내,반려동물 동반시 예약 필수,"꽃게탕 60,000원, 간장게장과 찰솥밥 30,000원 ",,09:30~20:30,수요일 휴무,가능
강화군,식당,바베큐캠프,강화군 불은면 덕진로227번길 49,X,정원,반려동물 동반 가능 구역(텐트C 및 비닐하우스),"반려동물 동반시 예약 필수, 목줄·가슴줄 필수","훈제삼겹 16,800원, 갈릭새우 15,500원 등","캠핑 분위기 느낄 수 있는 바베큐음식점, 야외 공간에서 산책 가능",12:00~21:00,"화, 수요일 휴무",가능
강화군,식당,전망좋은집,강화군 삼산면 삼산남로828번길 13,X,,실내,반려동물 입장 가능,"꽃게탕(2인) 40,000원",,08:00~19:30,명절 휴무,가능(유료)
강화군,식당,꽃게와낙지,강화군 화도면 해안남로2029번길 7 ,X,,실내,반려동물 입장 가능,"낙지볶음 40,000원, 꽃게탕 60,000원 등",,10:00~22:00,명절 휴무,가능
강화군,카페,몬테 ,강화군 화도면 해안남로 1288-12,O,"배변패드, 배변봉투, 매너벨트, 물그릇, 천연잔디 운동장, ",,"맹견 등 입장 제한 견종, 5차 예방접종 필수","대인 7,000원소인 6,000원반려견 7,000원반려견 추가 3,000원",,,,가능
강화군,카페,봉당,강화군 길상면 강화동로 23-16,X,작은 마당,"실내, 실외",안거나 케이지 이용,"대추차 5,500원 아메리카노 4,000원",주차 공간 협소,10:30~21:00,연중무휴,가능
강화군,카페,2번창고,강화군 불은면 강화동로 680,X,,실내,안거나 케이지 이용,"수플레팬케이크 12,000원, 2번창고브런치 15,000원",브런치 카페,10:00~21:00,화요일 휴무,가능
강화군,카페,카페느긋,강화군 선원면 강화동로 859,X,,"실내, 실외",,"대추차 6,000원, 강화쑥라떼 6,000원",반려동물 동반시 좌식 공간 이용 가능,"11:00~20:00, 토·일 1시간 연장",수요일 휴무,가능
강화군,카페,희소식,강화군 선원면 중앙로413번길 6,X,정원,"실내, 실외","안거나 케이지 이용, 야외는 목줄 착용","쑥소프트아이스크림 4,000원, 쑥스크림라떼 6,500원 ",,11:00~20:00,,가능
강화군,카페,카페109하우스,강화군 양도면 해안서로 540,,,,,"커플 세트 20,000원, 돈까스 13,000원 등",식사 메뉴 있음,"10:00~20:00, 토·일 1시간 연장",연중무휴,가능
강화군,카페,카페 순간의 순간,강화군 삼산면 삼산남로 990,X,"정원, 산책로","실내, 실외",,"아메리카노 5,000원, 초코퍼지케이크 7,000원",석모도에 위치한 로스터리 카페,11:00~20:00,"월, 화 휴무",가능
강화군,카페,앤드하리,강화군 길상면 동검길63번길 66,X,,"실내, 루프탑",,,실내 의자 이용시 방석 사용,"11:00~19:00, 주말 20시까지",,가능
강화군,카페,흐노니,강화군 길상면 해안남로 328-7,O,정원,"실내, 정원, 루프탑",,,,"11:00~19:00, 주말은 20시까지",수요일 휴무,가능
강화군,애견스쿨,러브독 애견스쿨,강화군 내가면 강화서로 48,O,"호텔링, 미용, 셀프 목욕, 위탁 목욕, 반려동물 행동교정, 애견훈련 상담 등 ","실내, 실외",전화 문의,"카페 이용시 1인1견 음료수포함 7,000원 1견당 추가 2,000원, 매너벨트/기저귀 1,000원",,카페 11:00~20:00,연중무휴,가능
중구,공원,자유공원,중구 제물량로232번길 46,X,,실외,,,,,,
중구,공원,송월동동화마을,중구 자유공원서로37번길 22,X,,실외,,,,,,가능(유료)
중구,공원,차이나타운,중구 차이나타운로59번길 12,X,,실외,,,,,,가능
중구,공원,씨사이드파크,중구 하늘달빛로2번길 6,,"정원, 운동장",,,,,,,가능
중구,공원,을왕리해수욕장,중구 용유서로302번길 16-15,,,,,,,,,가능
중구,공원,하나개해수욕장,중구 하나개로 129,,,,,,,,,가능
중구,호텔,더위크앤리조트, 중구 용유서로 379,O,"전용객실, 애견메뉴","실내, 루프탑 운동장",,,,,,
중구,호텔,영종도 에어스카이호텔,중구 은하수로29번길 31,O,"식기, 물그릇, 배변판, 배변패드",실내,"10kg 이하,  최대 2마리, 호텔내 목줄 착용, 맹견 입장제한","기본 1마리 입장, 추가 1마리 50,000원","반려견 입실동의서 작성, 반려견 동반 전용 객실 운영",,연중무휴,가능
중구,호텔,로얄엠포리움호텔 ->현재 코로나19 격리용 숙소로 사용중,중구 은하수로 35,,"식기, 배변판, 배변패드, 장난감, 하우스",실내,"펫룸 : 5kg 미만 1마리 프리미어 펫룸 : 10kg 미만 1마리,",,"반려견 동반 전용 객실 운영, 예방접종증 구비",입실 15:00 / 퇴실 12:00,연중무휴,가능
중구,호텔,오션솔레뷰호텔,중구 영종진광장로 32,X,"전용객실, ",,,,반려견,입실 15:00 / 퇴실 11:00,연중무휴,가능
중구,펜션,에버뷰펜션,중구 용유서로348번길 16,,애견운동장,"실내, 실외",10kg 이하,,,입실 15:00 / 퇴실 11:00,연중무휴,가능
중구,펜션 ,을왕롱비치하우스,중구 용유서로302번길 14-4,X,,실내,"전화 문의, 10kg 미만, 객실당 1마리",,,입실 15:00 / 퇴실 11:00,연중무휴,가능
중구,펜션,비치힐뷰하우스,중구 용유서로348번길 12,X,,실내,"전화 문의 필수, ","10kg 미만 10,000원, 20kg 미만 20,000원, 30kg 미만 30,000원, 30kg 이상 40,000원  ",,입실 15:00 / 퇴실 11:00,연중무휴,가능
중구,펜션,블루오션펜션,중구 영종진광장로 52,X,,실내,"8kg 미만, 최대 2마리, ",,반려동물 동반 전용 객실 운영,입실 15:00 / 퇴실 11:00,연중무휴,가능
중구,펜션,하나스토리펜션,중구 용유서로 341,X,,실내,"전화 문의 필수, ","반려견 동반시 10,000원 추가",,입실 15:00 / 퇴실 11:00,연중무휴,가능
중구,펜션,해둥실펜션,중구 큰무리로 36,X,,실내,"10kg 미만, 기본 1마리, 추가 1마리는 비용 있음, 마킹시 매너벨트착용","1마리 추가 20,000원",,입실 15:00 / 퇴실 11:00,연중무휴,가능
중구,펜션,대명펜션,중구 용유서로302번길 14-2,X,,,,,,,,
중구,펜션,어울림펜션,중구 용유서로348번길 11-8,X,,,,,,,,
중구,펜션,마음이사무치면꽃이핀다,중구 선녀바위로 15-1,X,,,,"10인 기준 300,000원",1팀 전용 독채 펜션,입실 15:00 / 퇴실 12:00,,
중구,캠핑장,왕산가족오토캠핑장,중구 용유서로423번길 60,X,,"실내, 실외","15kg 이하, 목줄 착용",,,입실 15:00 / 퇴실 11:00,연중무류,가능
중구,식당,메콩사롱,중구 참외전로158번길 14,X,,실내,전화 문의,"베트남쌀국수 11,000원, 비건반미 9,000원",,"11:30~21:00, 15:00~17:00 브레이크 타임",월요일 휴무,가능(유료)
중구,식당,음식남녀,중구 우현로72번길 3-11,X,,실내,모든 반려동물 입장 가능,"새우바질페스토 16,000원, 라구파스타 18,000원",,"12:00~21:00, 15:00~17:00 브레이크 타임","월, 화 휴무",가능(유료)
중구,식당,문차이나,중구 차이나타운로 20,,,테라스 좌석만,20kg 이하,"런치특선(평일) 15,000원, 자장면 5,000원",,10:30~21:00,월요일 휴무,가능
중구,식당,바닷가소나무,중구 잠진도길 55,X,,"실내, 실외",,"생선구이 18,000원, 조개찜 2인 75,000원","해변, 공원 산책 가능",,월요일 휴무,가능
중구,식당,어부네,중구 하나개로 142-1,X,,,,"조개찜 50,000원, 해물칼국수 10,000원",,"08:00~20:00, 주말은 22:00까지",연중무휴,가능
중구,식당,어부신광호,중구 선녀바위로55번길 14,X,,,,"무지개물회 45,000~65,000원",,09:00~22:00,연중무휴,가능
중구,식당,영이네물회전문점,중구 예단포1로 2-10,X,,,,,영종도,10:30~21:00,월요일 휴무,가능
중구,식당,해상궁,중구 마시란로 411,X,케이지 대여,"실내, 실외",실내에서 케이지 필수,"낙지파전 20,000원, 해물칼국수 10,000원",,11:00~21:00,화요일 휴무,가능
중구,애견카페,BON9,중구 백운로228번길 100,O,"야외 운동장, 실내놀이터, 매너벨트","실내, 실외","15kg 이하, 실내에서 매너벨트 필수, 예방접종","8kg 이하 입장료 6,000원, 8~15kg 입장료 8,000원, 댕피자 6,500원, 댕도넛 6,500원","코스튬 대여, 파티룸 대여, 노키즈존",11:00~21:00,화요일 휴무,가능
중구,애견카페,마당개 애견카페,중구 중산로29번길 144-16,,"배변봉투, 야외수영장, 놀이방, 셀프목욕, 드라이룸",전체,제한없음,7kg 미만 5000원8-14kg 6000원15kg 이상 7000원1인 1음료 필수,,12:00 - 22:00, 월요일 휴무,무료
중구,애견카페,펫38도씨,중구 운중로 99,,"호텔링, 애견유치원, 미용, 반려동물 용품, 애견카페 ","실내, 실외","대형견 불가, 전화 문의","호텔링(익일 12시 체크아웃) 30,000원, 5kg 미만 기본미용 33,000원, 유치원(기본 2시간) 8,000원, 애견카페 기본 입장료 5,000원  등"," 펫 간식,  옷, 용품 등 판매",카페 12:00~19:30 용품점 10:00~19:30 호텔 연중무휴,월요일 휴무,가능
중구,애견동반카페,브라운핸즈 개항로,중구 개항로 73-1,X,,실내,,,,"12:00 - 21:30, 화요일은 18시까지",연중무휴,불가
중구,애견동반카페,기노스코 개항로점,중구 개항로 65,X,,실내,"안거나 목줄 착용, 마킹 있을 경우 매너벨트 착용",,,12:00~23:00,연중무류,가능(유료)
중구,카페,블루하라,중구 차이나타운51번길 19-1,페X,,,,"아메리카노 4,500원",차이나타운 전망 좋은 카페,11:00~22:00,연중무휴,불가
중구,애견동반카페,upio,중구 홍예문로 82,X,,실내,,,,11:00~20:00,수요일 휴무,가능(유료)
중구,애견동반카페,Cafe Arancia,중구 우현로49번길 10-5,X,,,전화 문의,"아란치아라떼 6,000원, 아메리카노 3,800원",,12:00~21:00,월요일 휴무,가능(유료)
중구,애견동반카페,할리스커피 영종덕교점,중구 잠진도길 55,X,,야외,,,,09:00~21:30,연중무휴,가능/
중구,애견동반카페,구구만다복,중구 차이나타운로 40,X,,"실내, 테라스",안거나 케이지 이용,"월병 2,000원, 아메리카노 3,000원",,11:00~21:00,연중무휴,가능
중구,애견동반카페,아리니,중구 용유서로 297-3,O,"미니운동장, 강아지 간식","실내, 운동장","마킹시 매너벨트 착용, ","눈꽃빙수 19,000원, 아메리카노 6,000원",,"10:00~03:00, 동절기는 11:00~22:00(주말은 자정까지), ",연중무휴,공영주차장
중구,애견동반카페,카페 메이벨,중구 화랑목로100번길 54,X,,실내,,,,11:00~21:00,화요일 휴무,불가
중구,애견동반카페,목현,중구 화랑목로 50-9,X,,실내,,,,10:00~21:00,월요일 휴무,불가
중구,카페,하나개팜,중구 하나개로 157,X,,,,"입장료 6,000원(음료 1잔 제공)",식물원 카페,09:00~21:00,연중무휴,가능
중구,애견호텔&유치원,개인플레이,중구 운중로48번길 102,X,,,,,소형견 전용 애견호텔&유치원,08:00~19:00,,가능
중구,애견호텔&유치원,견과류 Dog&You,중구 논골길 5,,,,10kg 미만,,소형견 전문 호텔&유치원,06:00~21:00,,가능
중구,애견호텔&유치원,놀개나개,중구 운중로14번길 28,,,,,,"애견카페 운영 중단, 호텔&유치원만 운영함. 24시간 운영",,,가능
중구,애견유치원,멜리애견유치원,중구 월촌길 52,,,,,,,,,가능
미추홀구,식당,피트어패트 인하점 ,미추홀구 인하로134번길 9,O,반려견 메뉴 있음,실내,,"명란아보카도크림 파스타 17,900원, 가츠산도 9,900원, 댕댕이 고구마 치즈볼 4,500원, 꼬꼬쿠키 3,000원",브런치 카페,11:00~20:00,월요일 휴무,불가
미추홀구,카페,봉봉애견카페,미추홀구 경인로 25 숭의빌딩 302호,,,,7kg 미만,"1인1음료, 반려견 무료입장",,09:00~22:00,연중무휴,
미추홀구,카페,엘빈,미추홀구 한나루로 511,X,"호텔링, 애견유치원, ",실내,15kg 이하,"아이스 아메리카노 6,000원",노키즈존,"13:00~22:00, 주말 21시까지",월요일 휴무,가능
부평구,체험,펫푸드스쿨,부평구 장제로 196,O,수제간식 만들기,실내,,,,,,
부평구,식당,그래잇,부평구 부평문화로65번길 19,X,,실내,"13kg 이하, 방석이나 이동장 필수","트러플크림뇨끼 17,000원, 반반카페 10,500원",,12:00~21:00,인스타그램 공지,가능(유료)
부평구,"카페, 놀이터",뛰뛰 강아지놀이터 ,부평구 경원대로 1358-1,O,"실내놀이터, 애견유치원, 호텔링, 미용",실내,,,,,,
부평구,카페,멍생멍사,부평구 체육관로 14,O,"실내놀이터, 애견유치원, 호텔링, 반려견 초상화",,,"아메리카노 7,000원, ",,11:30~21:00,,
부평구,카페,펫톡,부평구 부평문화로 70-2,X,,,,"강아지 입장료 3,000원, 사람 입장료 8,000원",,11:30~21:00,,
부평구,카페,티카페620, 부평구 부평문화로71번길 28,X,,,"안거나 케이지 이용, 매너벨트 착용",,,12:00~22:00,월요일 휴무,불가
부평구,사진관,키다리아저씨사진관 부평점,부평구 시장로 36,X,,실내,전화 문의,,,10:30~21:00,,가능
남동구,"공원, 반려견 운동장",인천대공원 반려견놀이터,남동구 무네미로 238,O,"반려동물 놀이터(어질리티), 반려동물 음수전, 천연잔디, 정원, 야외운동장",실외,"대형견, 맹견, 사나운 개 등 제한",,반려동물 놀이터는 동물등록 완료한 반려동물만 이용 가능,"인천대공원 05:00~23:00, 동절기는 22시까지 반려동물 놀이터 10:00~20:00, 동절기는 17:30까지",,가능
남동구,공원,늘솔길공원,남동구 앵고개로 783,X,"야외운동장, 천연잔디",실외,,,,,,가능
남동구,반려견 운동장,인천개공원,남동구 무네미로 201-15,O,"애견운동장, 호텔링, 애견카페, 유치원, 매너벨트, 배변봉투, 물그릇","실내, 실외",5차접종 필수,"어린이 5,000원, 보호자 8,000원, 소형견 8,000원, 중형견 10,000원, 대형견 12,000원",,카페는 주말 12:00~20:00,카페 평일 휴무 호텔링&유치원 평일도 가능,가능
남동구,반려견 운동장,하비파크,남동구 만의골로195번길 46,O,"배변패드, 배변봉투, 매너벨트, 물그릇, 셀프목욕","실내, 실외",,"1인 입장료(음료 포함) 8,000원, 반려견 입장료(소/중/대) 8,000원/10,000원/12,000원, 하비떡볶이 7,000원",,11:00~22:00,연중무휴,가능
남동구,식당,한가네오리촌,남동구 수현로14번길 38,X,,실내,애견 동반시 예약 필수,"누룽지백숙 50,000원",,"11:00~22:00, 월요일 은 17:00~22:00",연중무휴,가능
남동구,펍/주점,필스너하우스 인천시청점,남동구 예술로204번길 27,X,,"실내, 야외","30kg 이하, 매너벨트 착용",,,16:00~03:00,,불가
남동구,애견카페,도그아지트,남동구 만수로111번길 29,X,,,,,호텔링&애견카페,"호텔은 매일, 24시간 카페는 주말만 13:00~19:00",,가능
남동구,애견카페/운동장,펫피,남동구 덕골로 158-14,O,"실내/외 운동장, 애경유치원, 배변패드, 배변봉투, 매너벨트, 물그릇","실내, 실외",,"10kg 미만 7,000원 20kg 미만 9,000원 20kg 이상 11,000원","매달 마지막 수요일 ‘개린이날’ 반려견 1마리 무료 입장, 전문 훈련사 상주",11:00~21:00,월요일 휴무,
남동구,애견카페,내일더사랑해,남동구 선수촌공원로23번길 6-17,O,"배변패드, 물그릇, 실내놀이터, ",실내,"전화 문의, 10kg 미만,","평일 입장료 2,000원, 주말 3,000원, 1마리 추가 1,000원",,12:00~21:00,월요일 휴무,
남동구,애견카페,파파독,남동구 남동대로 906 대양빌딩 1층,,,,소형견 전문,,"매트올시공, 소형견전용, 상주견 6마리 있음",13:00~20:00,"월, 목 휴무",2시간 무료
남동구,애견카페&애견호텔&행동교정교육,언더독스쿨,남동구 은봉로315번길 4 ,O,"교육&훈련, 보호자교육, 미용, 호텔링, 유치원, 용품, 애견카페",,전화 문의,,,07:00~20:00,목요일 휴무,가능
남동구,애견동반카페,제이라이킷,남동구 논현로170번길 5-7,X,,,모든 반려동물 입장 가능,,,"11:00~21:00, 일요링는 13시부터",,가능
남동구,애견동반카페,구월노르딕,남동구 미래로 6,X,,,,,,"08:00~21:00, 주말은 10:00~19:00",,가능
남동구,애견동반카페,칠링아웃,남동구 성말로44번길 26,X,,,,,,12:00~22:00,,
남동구,애견동반카페,이그니토 커피로스터스,남동구 인주대로604번길 49-15,X,,,모든 반려동물 입장 가능,,,12:00~22:00,,불가
남동구,애견동반카페,Lowic(로윅),남동구 성말로32번길 11-4,X,,,모든 반려동물 입장 가능,,,12:00~21:00,,불가
남동구,애견호텔&유치원,차차네유치원,남동구 호구포로 535번길 34 지원빌딩 3층,O,"호텔링,애견유치원,데이케어,애견놀이터,실내,실외 놀이터","실내,실외",9KG 이하,데이케어 25000원 호텔링4만원,상주 호텔링,24시,연중무휴,가능
연수구,반려견운동장,송도도그파크,연수구 센트럴로 350,o,"배변봉투, 야외운동장, 천연잔디, 어질리티()",전용공간,동물등록 한 반려견만,,,3월 1일~11월 30일,,
연수구,호텔,오크우드 프리미어 인천,연수구 컨벤시아대로 165,o,"배변패드, 배변판, 식기",객실,10kg 이하,"펫패밀리 패키지 200,130원~","반려동물 규정 -마리당 청소비 세금포함 55,000원 - 한마리 기준 보증금 50만원(체크아웃 시 객실 내 가구, 카펫 등에 이상 없을 시 환불 - 반려견 2마리 한정 -다른 반려동물 허용불가 - 공공장소에서 안거나 캐리어에 넣어서 동반 - 반려동물 용품은 직접 준비",입실 15:00 ~ 퇴실 12:00,연중무휴,가능
연수구,식당,누들박스 송도점,연수구 아트센터대로 131,x,,,,,,,,
연수구,식당,피트어패트,연수구 인천타워대로 257 A동 3층 ,O,반려견 메뉴 있음,실내,,"명란아보카도크림 파스타 17,900원, 가츠산도 9,900원, 댕댕이 고구마 치즈볼 4,500원, 꼬꼬쿠키 3,000원","브런치 카페 식당(애견메뉴 있음, 센트럴파크 바로 앞)",11:00~20:00,연중무휴,가능
연수구,식당,흥륜사 쉼터,연수구 청량로46번길 38,x,,,,,,,,불가
연수구,식당,비스트로 콩스탕스,연수구 컨벤시아대로 60,o,물그릇,"실외, 테라스",없음,없음,사전 문의 요망,12:00~02:00,연중무휴,무료
연수구,식당,오지아뜰리에,연수구 송도과학로28번길 50 132호,o,마들렌 등 간식부터 스테이크 메뉴까지 다양한 메뉴 제공,"실내, 전체",없음,"마들렌 3,000원 바나나빵 6,500원 스테이크 피자 8,000원",,월-금 11:00~20:00     토-일 09:00~20:00,매주 화요일,가능
연수구,"카페, 애견유치원",댕댕쓰,연수구 한나루로 87 주문빌딩 5층,,"호텔링, 유치원",,"10kg 미만, 진도, 허스키, 시바, 비글, 불독류 불가",,,애견카페는 토요일만11:00~19:00 평일은 유치원만 8시부터,,가능
연수구,카페,앙쥬레브 송도점 (구 바로나도 송도점),연수구 송도과학로16번길 33-2 B동 3층,O,"배변봉투, 야외 놀이터",전체,"10kg 이하, 맹견류","보호자 입장료 10,000원(음료 포함) 반려견 입장료 3,000원","트리플스트리트에 위치, 3층 루프탑, 노키즈존, 단시간 놀이방(2시간~) 가능",카페 14:00~21:00(주말은 10:30~) 유치원/호텔/놀이방 매일 09:00~21:00,,가능
연수구,카페,컵피,연수구 송도과학로28번길 8 1층,x,,,,,동반 입장 가능 사전 문의 필요,10:00~22:00,연중무휴,가능
